"id","company","model","content","created_at","updated_at"
"232","HUAWEI","A7 18","فرام","2024-10-28 00:07:36","2024-10-28 00:07:36"
"233","HONOR","8X","فرام","2024-10-28 00:08:06","2024-10-28 00:08:06"
"234","BLACKBERE","زراير","كامل","2024-10-28 00:09:14","2024-10-28 00:09:14"
"235","TECNO","W5 LITE","بورده + فريم + بطاريه","2024-10-28 00:10:50","2024-10-28 00:10:50"
"236","TECNO","L8","كامل","2024-10-28 00:11:20","2024-10-28 00:11:20"
"237","TECNO","WX3","كامل بدون بطاريه","2024-10-28 00:11:51","2024-10-28 00:11:51"
"238","HONOR","7A","باك","2024-10-28 00:52:04","2024-10-28 00:52:04"
"239","TECNO","C3","شاشه بفريم + بطاريه","2024-10-28 00:52:45","2024-10-28 00:52:45"
"240","TECNO","F3PRO","كامل","2024-10-28 00:53:16","2024-10-28 00:53:16"
"241","TECNO","CX AIR","كامل","2024-10-28 00:53:54","2024-10-28 00:53:54"
"242","TECNO","K7","بصمه + شاشه + باك","2024-10-28 00:55:14","2024-10-28 00:55:14"
"243","TECNO","M6","كامل","2024-10-28 00:55:40","2024-10-28 00:55:40"
"244","MICROSOFT","مش عارف","كامل بدون شاشه","2024-10-28 00:56:47","2024-10-28 00:56:47"
"245","صيني","صيني","كامل","2024-10-28 00:57:20","2024-10-28 00:57:20"
"246","INFINIX","X609","هوسينج + بورده","2024-10-28 01:03:18","2024-10-28 01:03:18"
"247","INFINIX","X606","كامل","2024-10-28 01:03:45","2024-10-28 01:03:45"
"248","INFINIX","X521","كامل بدون بطاريه","2024-10-28 01:07:58","2024-10-28 01:07:58"
"249","INFINIX","X625","هوسينج","2024-10-28 01:08:29","2024-10-28 01:08:29"
"250","INFINIX","X680","باك","2024-10-28 01:08:57","2024-10-28 01:08:57"
"251","INFINIX","X602","كامل بدون بطاريه","2024-10-28 01:09:27","2024-10-28 01:09:27"
"252","INFINIX","X653","كامل بدون فلاته شحن","2024-10-28 01:10:37","2024-10-28 01:10:37"
"253","INFINIX","X624","فرام + بلشاشه + ربط","2024-10-28 01:11:43","2024-10-28 01:11:43"
"254","INFINIX","X623","كامل","2024-10-28 01:15:04","2024-10-28 01:15:04"
"255","INFINIX","X650","بورده + باك + فريم 3","2024-10-28 01:16:15","2024-10-28 01:16:15"
"256","INFINIX","X559","هوسينج + شاشه","2024-10-28 01:16:58","2024-10-28 01:16:58"
"257","INFINIX","X627","هوسينج + شاشه + ربط + شحن","2024-10-28 01:18:34","2024-10-28 01:18:34"
"258","INFINIX","X682","باك","2024-10-28 01:19:00","2024-10-28 01:19:00"
"259","INFINIX","X5915","كامل","2024-10-28 01:19:26","2024-10-28 01:19:26"
"260","INFINIX","X553","كامل بدون باك","2024-10-28 01:20:00","2024-10-28 01:20:00"
"261","INFINIX","X627","باك + ميدل + بصمه + كامره","2024-10-28 01:20:54","2024-10-28 01:20:54"
"262","INFINIX","NOTE2","كامل","2024-10-28 01:21:22","2024-10-28 01:21:22"
"263","INFINIX","HOTE3","باك + شاشه بفريم","2024-10-28 01:21:56","2024-10-28 01:21:56"
"264","INFINIX","NOTE4","كامل","2024-10-28 01:32:04","2024-10-28 01:32:04"
"265","INFINIX","HOTE2","كامل","2024-10-28 01:32:44","2024-10-28 01:32:44"
"266","REALME","2PRO","هوسينج","2024-10-28 01:34:01","2024-10-28 01:34:01"
